source_id,target_id,edge_text,transition_type,realisation_value,semantic_risk,semantic_morality,semantic_action,warnings
74,281,"If you decide to run deeper into the forest without delay, turn to 281.",explicit_choice,,cautious,neutral,physical,
83,45,"If you possess the Kai Discipline of Sixth Sense, turn to 45.",conditional,If you possess the Kai Discipline of Sixth Sense,,,,
83,205,"If you wish to do as they say, turn to 205.",explicit_choice,,cautious,neutral,neutral,
83,180,"If you wish to prepare to fight them, turn to 180.",explicit_choice,,reckless,neutral,physical,
83,232,"If you demand to know what they want, turn to 232.",explicit_choice,,neutral,neutral,neutral,
87,61,Turn to 61.,forced,,,,,Narrative describes suffering small cuts to face and hands during the transition
90,18,Turn to 18.,forced,,,,,
95,240,"If you wish to set off along the track towards the north, turn to 240.",explicit_choice,,neutral,neutral,neutral,
95,5,"If you wish to go south instead, turn to 5.",explicit_choice,,neutral,neutral,neutral,
97,255,"If you wish to defend the fallen Prince, turn to 255.",explicit_choice,,reckless,noble,physical,
97,306,"If you wish to run into the forest, turn to 306.",explicit_choice,,cautious,selfish,physical,
100,161,"If you wish to sit on the throne, turn to 161.",explicit_choice,,reckless,neutral,neutral,
100,133,"If you wish to examine the statue, turn to 133.",explicit_choice,,neutral,neutral,tactical,
100,257,"If you wish to look for an exit from this chamber, turn to 257.",explicit_choice,,cautious,neutral,tactical,
103,13,"If you wish to take this path, turn to 13.",explicit_choice,,neutral,neutral,neutral,
103,287,"If you would rather continue towards the northeast, turn to 287.",explicit_choice,,neutral,neutral,neutral,
104,26,"If you wish to turn north, go to 26.",explicit_choice,,neutral,neutral,neutral,
104,100,"If you wish to go south, turn to 100.",explicit_choice,,neutral,neutral,neutral,
114,239,Turn to 239.,forced,,,,,
124,211,You can continue to investigate the tunnel by turning to 211.,explicit_choice,,reckless,neutral,tactical,
124,106,Or you may leave and descend the hill by turning to 106.,explicit_choice,,cautious,neutral,neutral,
125,301,"If you have the Kai Discipline of Tracking, turn to 301.",conditional,If you have the Kai Discipline of Tracking,,,,
125,27,"If you wish to take the south path, turn to 27.",explicit_choice,,neutral,neutral,neutral,
125,214,"If you wish to take the west path, turn to 214.",explicit_choice,,neutral,neutral,neutral,
128,297,"If you have the Kai Discipline of Hunting, turn to 297.",conditional,If you have the Kai Discipline of Hunting,,,,
128,336,"If you do not, you must attack the Giaks now in order to save the ranger’s life. Turn to 336.",conditional,If you do not [have the Kai Discipline of Hunting],,,,
129,3,"If you wish to continue following the officer, turn to 3.",explicit_choice,,cautious,neutral,neutral,
129,144,"If you feel that you stand a better chance of making your way to the King’s citadel on your own, turn to 144.",explicit_choice,,reckless,selfish,tactical,
131,241,"If you wish to shout a warning to the wizard, turn to 241.",explicit_choice,,cautious,noble,tactical,
131,55,"If you wish to run forward and attack the Giak when he jumps, turn to 55.",explicit_choice,,reckless,noble,physical,
131,302,"If you wish to pick up a chunk of temple marble and throw it at the Giak’s head, turn to 302.",explicit_choice,,neutral,noble,physical,
131,101,"Or if you would rather turn and leave the battle area and run back into the woods, turn to 101.",explicit_choice,,cautious,selfish,physical,
144,63,"If you choose to fight, turn to 63.",explicit_choice,,reckless,neutral,physical,
144,217,"If you wish to evade a fight, turn to 217.",explicit_choice,,cautious,neutral,tactical,
153,202,"If you will try your luck by the highway, turn to 202.",explicit_choice,,reckless,neutral,physical,
153,135,If you feel that you stand a better chance of reaching the capital via the river then turn to 135.,explicit_choice,,cautious,neutral,physical,
153,329,"Or if you are brave enough to risk the unknown perils of the Graveyard of the Ancients, turn to 329.",explicit_choice,,reckless,neutral,tactical,
155,70,Turn to 70.,forced,,,,,
175,182,"If you possess the Kai Discipline of Camouflage, turn to 182.",conditional,If you possess the Kai Discipline of Camouflage,,,,
175,41,"If you wish to take cover and hide, turn to 41.",explicit_choice,,cautious,neutral,tactical,
175,116,"If you wish to make for the other bank, turn to 116.",explicit_choice,,reckless,neutral,physical,
194,208,"If you wish to fight the Giaks, turn to 208.",explicit_choice,,reckless,noble,physical,
194,148,"If you wish to run to the farmhouse, turn to 148.",explicit_choice,,cautious,selfish,physical,
203,80,"If you have 10 or more ENDURANCE points left, turn to 80.",conditional,If you have 10 or more ENDURANCE points left,,,,
203,344,"If you now have less than 10 ENDURANCE points, turn to 344.",conditional,If you now have less than 10 ENDURANCE points,,,,
220,24,"If you win, turn to 24.",conditional,If you win,,,,
220,234,"If you wish to evade combat at any time during the fight, you can jump from the speeding caravan by turning to 234.",explicit_choice,,reckless,neutral,physical,
227,271,"If you lose any ENDURANCE points in the combat, turn to 271.",conditional,If you lose any ENDURANCE points in the combat,,,,
227,348,"If you kill it without losing any ENDURANCE points, turn to 348.",conditional,If you kill it without losing any ENDURANCE points,,,,
245,190,Turn to 190.,forced,,,,,
248,44,"If you wish to follow this track north, turn to 44.",explicit_choice,,neutral,neutral,neutral,
248,300,"If you wish to follow this track east, turn to 300.",explicit_choice,,neutral,neutral,neutral,
253,278,"If you kill them all in battle, turn to 278.",forced,,,,,"Combat sequence with multiple enemies. Only one outcome provided (victory), implying death is the implicit alternative not captured in a choice tag."
260,156,"If you win, turn to 156.",forced,,,,,Combat with a penalty (-4 COMBAT SKILL) and only one outcome provided
276,213,Lose 1 ENDURANCE point and turn to 213.,forced,,,,,Loss of 1 ENDURANCE point during the transition
294,230,"If the number you pick is 0–2, turn to 230.",stochastic,If the number you pick is 0–2,,,,
294,190,"If the number is 3–6, turn to 190.",stochastic,If the number is 3–6,,,,
294,321,"If the number is 7–9, turn to 321.",stochastic,If the number is 7–9,,,,
295,185,"If you wish to remain where you are in order to try to spot the hidden archer, turn to 185.",explicit_choice,,reckless,neutral,tactical,
295,92,"If you wish to run for the cover of denser undergrowth, turn to 92.",explicit_choice,,cautious,neutral,physical,
299,227,"If you wish to continue, turn to 227.",explicit_choice,,reckless,neutral,physical,
299,95,"If you wish to change direction and head towards firmer ground, turn to 95.",explicit_choice,,cautious,neutral,tactical,
303,237,"If you have the Kai Discipline of Camouflage, turn to 237.",conditional,If you have the Kai Discipline of Camouflage,,,,
303,72,"If you do not, turn to 72.",conditional,If you do not,,,,
331,170,"If you wish to enter the tunnel, turn to 170.",explicit_choice,,reckless,neutral,neutral,
331,280,"If you would prefer to climb the hillside, turn to 280.",explicit_choice,,cautious,neutral,physical,
333,131,Turn to 131.,forced,,,,,
334,48,"If you wish to use the Kai Discipline of Sixth Sense, turn to 48.",conditional,If you wish to use the Kai Discipline of Sixth Sense,,,,
334,73,"If you wish to use the Kai Discipline of Camouflage and wait for them to pass, turn to 73.",conditional,If you wish to use the Kai Discipline of Camouflage,,,,
334,162,"If you wish to approach them, turn to 162.",explicit_choice,,reckless,neutral,neutral,
339,94,"If you kill him within 4 rounds of Combat, turn to 94.",conditional,If you kill him within 4 rounds of Combat,,,,Based on a rare condition : combat speed
339,203,"If you are still fighting after 4 rounds of Combat, turn to 203.",conditional,If you are still fighting after 4 rounds of Combat,,,,Based on a rare condition : combat speed
339,7,"You may evade combat by escaping through the front door at any stage of the fight, by turning to 7.",explicit_choice,,cautious,neutral,tactical,
343,213,Lose 2 ENDURANCE points and turn to 213.,forced,,,,,Loss of 2 ENDURANCE points during the transition
