source_id,target_id,transition_kind,weight_rule,weight_value,weight_expression,condition_kind,condition_value,semantic_risk,semantic_morality,semantic_action,source_ref,note
18,114,kai,formula,,"kai_available(""Camouflage"")",kai_discipline,Camouflage,,,,LW01_e_edges.csv:36,Kai route is taken whenever the discipline is available.
18,239,profile_choice,formula,,"(1 - kai_available(""Camouflage"")) * choice_share(18, 239)",,,cautious,neutral,physical,LW01_e_edges.csv:37,Choice among routes remaining when the Kai route is unavailable.
18,29,profile_choice,formula,,"(1 - kai_available(""Camouflage"")) * choice_share(18, 29)",,,reckless,neutral,physical,LW01_e_edges.csv:38,Choice among routes remaining when the Kai route is unavailable.
19,69,kai,formula,,"kai_available(""Tracking"")",kai_discipline,Tracking,,,,LW01_e_edges.csv:39,Kai route is taken whenever the discipline is available.
19,272,profile_choice,formula,,"(1 - kai_available(""Tracking"")) * choice_share(19, 272)",,,cautious,neutral,neutral,LW01_e_edges.csv:40,Choice among routes remaining when the Kai route is unavailable.
19,119,profile_choice,formula,,"(1 - kai_available(""Tracking"")) * choice_share(19, 119)",,,reckless,neutral,physical,LW01_e_edges.csv:41,Choice among routes remaining when the Kai route is unavailable.
20,273,forced,constant,1,,,,,,,LW01_e_edges.csv:42,
22,181,random,constant,0.5,,,,,,,LW01_e_edges.csv:46,
22,145,random,constant,0.5,,,,,,,LW01_e_edges.csv:47,
24,234,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:51,
24,184,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:52,
25,139,forced,constant,1,,,,,,,LW01_e_edges.csv:53,
26,249,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:54,
26,100,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:55,
27,250,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:56,
27,52,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:57,
28,130,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:58,
28,147,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:59,
29,270,combat,formula,,combat_win(29),,,,,,LW01_e_edges.csv:60,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists. Deduction of 2 COMBAT SKILL points unless Mindshield is possessed."
29,Death,combat,formula,,1 - combat_win(29),,,,,,generated:combat_death:29,Implicit death when the combat is lost.
30,194,profile_choice,profile_choice,,,,,reckless,noble,physical,LW01_e_edges.csv:61,
30,261,profile_choice,profile_choice,,,,,cautious,selfish,physical,LW01_e_edges.csv:62,
31,264,forced,constant,1,,,,,,,LW01_e_edges.csv:63,
32,176,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:64,
32,340,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:65,
33,248,forced,constant,1,,,,,,,LW01_e_edges.csv:66,
34,328,combat,formula,,combat_win(34),,,,,,LW01_e_edges.csv:67,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists. Deduction of 2 COMBAT SKILL points unless Mindshield is possessed."
34,Death,combat,formula,,1 - combat_win(34),,,,,,generated:combat_death:34,Implicit death when the combat is lost.
35,207,forced,constant,1,,,,,,,LW01_e_edges.csv:68,
36,140,random,constant,0.5,,,,,,,LW01_e_edges.csv:69,Loss of 2 ENDURANCE points during the transition
36,323,random,constant,0.5,,,,,,,LW01_e_edges.csv:70,
37,282,kai,formula,,"kai_available(""Camouflage"")",kai_discipline,Camouflage,,,,LW01_e_edges.csv:71,Kai route is taken whenever the discipline is available.
37,289,profile_choice,formula,,"1 - kai_available(""Camouflage"")",,,reckless,neutral,neutral,LW01_e_edges.csv:72,Choice among routes remaining when the Kai route is unavailable.
38,128,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:73,
38,347,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:74,
39,228,forced,constant,1,,,,,,,LW01_e_edges.csv:75,
40,105,forced,constant,1,,,,,,,LW01_e_edges.csv:76,
41,174,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:77,
41,116,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:78,
42,86,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:79,
42,238,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:80,
42,157,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:81,
42,147,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:82,
44,277,random,constant,0.5,,,,,,,LW01_e_edges.csv:85,
44,338,random,constant,0.5,,,,,,,LW01_e_edges.csv:86,
45,180,forced,constant,1,,,,,,,LW01_e_edges.csv:87,
46,296,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,LW01_e_edges.csv:88,Kai route is taken whenever the discipline is available.
46,246,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(46, 246)",,,reckless,neutral,neutral,LW01_e_edges.csv:89,Choice among routes remaining when the Kai route is unavailable.
46,90,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(46, 90)",,,cautious,neutral,physical,LW01_e_edges.csv:90,Choice among routes remaining when the Kai route is unavailable.
47,136,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:91,
47,322,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:92,
48,243,forced,constant,1,,,,,,,LW01_e_edges.csv:93,
49,339,random,constant,0.5,,,,,,,LW01_e_edges.csv:94,
49,60,random,constant,0.5,,,,,,,LW01_e_edges.csv:95,
50,97,profile_choice,profile_choice,,,,,reckless,neutral,neutral,LW01_e_edges.csv:96,
50,243,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:97,
51,288,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:98,
51,221,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:99,
52,225,kai,formula,,"kai_available(""Animal Kinship"")",kai_discipline,Animal Kinship,,,,LW01_e_edges.csv:100,Kai route is taken whenever the discipline is available.
52,250,kai,formula,,"1 - kai_available(""Animal Kinship"")",kai_discipline_absent,Animal Kinship,,,,LW01_e_edges.csv:101,
53,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:53,Written narrative ending linked to its shared outcome.
54,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:54,Written narrative ending linked to its shared outcome.
55,325,combat,formula,,combat_win(55),,,,,,LW01_e_edges.csv:102,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists"
55,Death,combat,formula,,1 - combat_win(55),,,,,,generated:combat_death:55,Implicit death when the combat is lost.
56,222,forced,constant,1,,,,,,,LW01_e_edges.csv:103,
57,164,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:104,
57,109,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:105,
57,308,profile_choice,profile_choice,,,,,neutral,neutral,tactical,LW01_e_edges.csv:106,
58,251,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:107,
58,160,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:108,
59,124,profile_choice,profile_choice,,,,,reckless,neutral,neutral,LW01_e_edges.csv:109,
59,106,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:110,
59,211,profile_choice,profile_choice,,,,,neutral,neutral,tactical,LW01_e_edges.csv:111,
60,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:60,Written narrative ending linked to its shared outcome.
61,268,forced,constant,1,,,,,,,LW01_e_edges.csv:112,
62,288,forced,constant,1,,,,,,,LW01_e_edges.csv:113,
63,269,combat,formula,,combat_win(63),,,,,,LW01_e_edges.csv:114,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists"
63,Death,combat,formula,,1 - combat_win(63),,,,,,generated:combat_death:63,Implicit death when the combat is lost.
64,188,profile_choice,profile_choice,,,,,cautious,selfish,physical,LW01_e_edges.csv:115,
64,16,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:116,
65,104,forced,constant,1,,,,,,,LW01_e_edges.csv:117,
66,350,forced,constant,1,,,,,,,LW01_e_edges.csv:118,
67,252,forced,constant,1,,,,,,,LW01_e_edges.csv:119,
68,130,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:120,
68,15,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:121,
69,272,forced,constant,1,,,,,,,LW01_e_edges.csv:122,
70,8,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,LW01_e_edges.csv:123,Kai route is taken whenever the discipline is available.
70,28,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(70, 28)",,,neutral,neutral,neutral,LW01_e_edges.csv:124,Choice among routes remaining when the Kai route is unavailable.
70,157,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(70, 157)",,,neutral,neutral,neutral,LW01_e_edges.csv:125,Choice among routes remaining when the Kai route is unavailable.
71,65,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,LW01_e_edges.csv:126,Kai route is taken whenever the discipline is available.
71,242,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(71, 242)",,,reckless,selfish,physical,LW01_e_edges.csv:127,Choice among routes remaining when the Kai route is unavailable.
71,104,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(71, 104)",,,cautious,neutral,neutral,LW01_e_edges.csv:128,Choice among routes remaining when the Kai route is unavailable.
72,265,combat,formula,,combat_win(72),,,,,,LW01_e_edges.csv:129,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists"
72,Death,combat,formula,,1 - combat_win(72),,,,,,generated:combat_death:72,Implicit death when the combat is lost.
73,243,forced,constant,1,,,,,,,LW01_e_edges.csv:130,
74,138,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:131,
74,281,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:132,
75,260,profile_choice,profile_choice,,,,,reckless,noble,physical,LW01_e_edges.csv:133,
75,163,profile_choice,profile_choice,,,,,cautious,selfish,tactical,LW01_e_edges.csv:134,
76,118,forced,constant,1,,,,,,,LW01_e_edges.csv:135,Loss of 2 ENDURANCE points during the transition
77,19,forced,constant,1,,,,,,,LW01_e_edges.csv:136,
78,132,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:137,
78,12,profile_choice,profile_choice,,,,,cautious,selfish,neutral,LW01_e_edges.csv:138,
78,220,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:139,
79,204,forced,constant,1,,,,,,,LW01_e_edges.csv:140,
80,7,forced,constant,1,,,,,,,LW01_e_edges.csv:141,
81,183,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:142,
81,200,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:143,
82,235,forced,constant,1,,,,,,,LW01_e_edges.csv:144,
83,45,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,LW01_e_edges.csv:145,Kai route is taken whenever the discipline is available.
83,205,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(83, 205)",,,cautious,neutral,neutral,LW01_e_edges.csv:146,Choice among routes remaining when the Kai route is unavailable.
83,180,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(83, 180)",,,reckless,neutral,physical,LW01_e_edges.csv:147,Choice among routes remaining when the Kai route is unavailable.
83,232,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(83, 232)",,,neutral,neutral,neutral,LW01_e_edges.csv:148,Choice among routes remaining when the Kai route is unavailable.
84,188,forced,constant,1,,,,,,,LW01_e_edges.csv:149,
85,229,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:150,
85,99,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:151,
86,6,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:152,
86,35,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:153,
86,167,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:154,
86,42,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:155,
87,61,forced,constant,1,,,,,,,LW01_e_edges.csv:156,
88,216,kai,formula,,"kai_available(""Healing"")",kai_discipline,Healing,,,,LW01_e_edges.csv:157,Kai route is taken whenever the discipline is available.
88,31,kai,formula,,"1 - kai_available(""Healing"")",kai_discipline_absent,Healing,,,,LW01_e_edges.csv:158,
89,53,random,constant,0.2,,,,,,,LW01_e_edges.csv:159,
89,274,random,constant,0.3,,,,,,,LW01_e_edges.csv:160,
89,316,random,constant,0.5,,,,,,,LW01_e_edges.csv:161,
90,18,forced,constant,1,,,,,,,LW01_e_edges.csv:162,
91,198,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,LW01_e_edges.csv:163,Kai route is taken whenever the discipline is available.
91,152,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(91, 152)",,,neutral,neutral,tactical,LW01_e_edges.csv:164,Choice among routes remaining when the Kai route is unavailable.
91,7,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(91, 7)",,,cautious,neutral,neutral,LW01_e_edges.csv:165,Choice among routes remaining when the Kai route is unavailable.
92,13,forced,constant,1,,,,,,,LW01_e_edges.csv:166,
93,106,forced,constant,1,,,,,,,LW01_e_edges.csv:167,
94,7,forced,constant,1,,,,,,,LW01_e_edges.csv:168,
95,240,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:169,
95,5,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:170,
96,33,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:171,
96,248,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:172,
97,255,profile_choice,profile_choice,,,,,reckless,noble,physical,LW01_e_edges.csv:173,
97,306,profile_choice,profile_choice,,,,,cautious,selfish,physical,LW01_e_edges.csv:174,
98,139,forced,constant,1,,,,,,,LW01_e_edges.csv:175,
99,222,forced,constant,1,,,,,,,LW01_e_edges.csv:176,
100,161,profile_choice,profile_choice,,,,,reckless,neutral,neutral,LW01_e_edges.csv:177,
100,133,profile_choice,profile_choice,,,,,neutral,neutral,tactical,LW01_e_edges.csv:178,
100,257,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:179,
101,281,forced,constant,1,,,,,,,LW01_e_edges.csv:180,
102,284,forced,constant,1,,,,,,,LW01_e_edges.csv:181,
103,13,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:182,
103,287,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:183,
104,26,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:184,
104,100,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:185,
105,298,kai,formula,,"kai_available(""Animal Kinship"")",kai_discipline,Animal Kinship,,,,LW01_e_edges.csv:186,Kai route is taken whenever the discipline is available.
105,335,kai,formula,,"1 - kai_available(""Animal Kinship"")",kai_discipline_absent,Animal Kinship,,,,LW01_e_edges.csv:187,
106,263,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:188,
106,334,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:189,
107,23,forced,constant,1,,,,,,,LW01_e_edges.csv:190,
108,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:108,Written narrative ending linked to its shared outcome.
109,164,profile_choice,profile_choice,,,,,neutral,neutral,tactical,LW01_e_edges.csv:191,
109,308,profile_choice,profile_choice,,,,,neutral,neutral,tactical,LW01_e_edges.csv:192,
110,55,forced,constant,1,,,,,,,LW01_e_edges.csv:193,
111,57,profile_choice,profile_choice,,,,,reckless,neutral,neutral,LW01_e_edges.csv:194,
111,308,profile_choice,profile_choice,,,,,neutral,neutral,tactical,LW01_e_edges.csv:195,
113,347,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:198,
113,295,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:199,
114,239,forced,constant,1,,,,,,,LW01_e_edges.csv:200,
115,150,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:201,
115,177,profile_choice,profile_choice,,,,,neutral,neutral,tactical,LW01_e_edges.csv:202,
115,83,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:203,
116,321,forced,constant,1,,,,,,,LW01_e_edges.csv:204,
117,330,forced,constant,1,,,,,,,LW01_e_edges.csv:205,
118,224,forced,constant,1,,,,,,,LW01_e_edges.csv:206,
119,226,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:207,
119,38,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:208,
120,84,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:209,
120,171,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:210,
120,54,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:211,
121,342,profile_choice,profile_choice,,,,,reckless,neutral,neutral,LW01_e_edges.csv:212,
121,309,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:213,
121,283,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:214,
122,206,forced,constant,1,,,,,,,LW01_e_edges.csv:215,
123,304,profile_choice,profile_choice,,,,,reckless,selfish,physical,LW01_e_edges.csv:216,
123,2,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:217,
124,211,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:218,
124,106,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:219,
125,301,kai,formula,,"kai_available(""Tracking"")",kai_discipline,Tracking,,,,LW01_e_edges.csv:220,Kai route is taken whenever the discipline is available.
125,27,profile_choice,formula,,"(1 - kai_available(""Tracking"")) * choice_share(125, 27)",,,neutral,neutral,neutral,LW01_e_edges.csv:221,Choice among routes remaining when the Kai route is unavailable.
125,214,profile_choice,formula,,"(1 - kai_available(""Tracking"")) * choice_share(125, 214)",,,neutral,neutral,neutral,LW01_e_edges.csv:222,Choice among routes remaining when the Kai route is unavailable.
126,46,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:223,
126,143,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:224,
127,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:127,Written narrative ending linked to its shared outcome.
128,297,kai,formula,,"kai_available(""Hunting"")",kai_discipline,Hunting,,,,LW01_e_edges.csv:225,Kai route is taken whenever the discipline is available.
128,336,kai,formula,,"1 - kai_available(""Hunting"")",kai_discipline_absent,Hunting,,,,LW01_e_edges.csv:226,
129,3,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:227,
129,144,profile_choice,profile_choice,,,,,reckless,selfish,tactical,LW01_e_edges.csv:228,
130,28,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:229,
130,201,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:230,
131,241,profile_choice,profile_choice,,,,,cautious,noble,tactical,LW01_e_edges.csv:231,
131,55,profile_choice,profile_choice,,,,,reckless,noble,physical,LW01_e_edges.csv:232,
131,302,profile_choice,profile_choice,,,,,neutral,noble,physical,LW01_e_edges.csv:233,
131,101,profile_choice,profile_choice,,,,,cautious,selfish,physical,LW01_e_edges.csv:234,
132,64,forced,constant,1,,,,,,,LW01_e_edges.csv:235,
133,266,combat,formula,,combat_win(133),,,,,,LW01_e_edges.csv:236,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists"
133,Death,combat,formula,,1 - combat_win(133),,,,,,generated:combat_death:133,Implicit death when the combat is lost.
134,305,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:237,
134,40,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:238,
135,223,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:239,
135,4,profile_choice,profile_choice,,,,,neutral,neutral,physical,LW01_e_edges.csv:240,
136,313,combat,formula,,combat_win(136),,,,,,LW01_e_edges.csv:241,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists"
136,Death,combat,formula,,1 - combat_win(136),,,,,,generated:combat_death:136,Implicit death when the combat is lost.
137,23,forced,constant,1,,,,,,,LW01_e_edges.csv:242,
138,291,combat,formula,,combat_win(138),,,,,,LW01_e_edges.csv:243,Transition after combat victory. | Implicit death condition if combat is lost
138,Death,combat,formula,,1 - combat_win(138),,,,,,generated:combat_death:138,Implicit death when the combat is lost.
139,66,forced,constant,1,,,,,,,LW01_e_edges.csv:244,
140,14,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:245,
140,252,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:246,
140,215,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:247,
140,36,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:248,
141,56,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:249,
141,333,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:250,
142,58,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:251,
142,135,profile_choice,profile_choice,,,,,neutral,neutral,physical,LW01_e_edges.csv:252,
142,102,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:253,
143,149,forced,constant,1,,,,,,,LW01_e_edges.csv:254,
144,63,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:255,
144,217,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:256,
145,165,forced,constant,1,,,,,,,LW01_e_edges.csv:257,Implicit death or unconsciousness
146,154,forced,constant,1,,,,,,,LW01_e_edges.csv:258,Loss of 3 ENDURANCE points during the transition
147,42,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:259,
147,28,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:260,
148,81,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:261,
148,320,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:262,
148,199,profile_choice,profile_choice,,,,,neutral,neutral,tactical,LW01_e_edges.csv:263,
149,256,forced,constant,1,,,,,,,LW01_e_edges.csv:264,
150,83,forced,constant,1,,,,,,,LW01_e_edges.csv:265,
151,87,kai,formula,,"kai_available(""Mind Over Matter"")",kai_discipline,Mind Over Matter,,,,LW01_e_edges.csv:266,Kai route is taken whenever the discipline is available.
151,337,profile_choice,formula,,"1 - kai_available(""Mind Over Matter"")",,,reckless,neutral,tactical,LW01_e_edges.csv:267,Choice among routes remaining when the Kai route is unavailable.
152,49,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:268,
152,231,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:269,
153,202,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:270,
153,135,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:271,
153,329,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:272,
154,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:154,Written narrative ending linked to its shared outcome.
