edge_id,source_id,target_id,transition_kind,weight_rule,weight_value,weight_expression,condition_kind,condition_value,semantic_risk,semantic_morality,semantic_action,origin,source_ref,note,profile_id,compiled_weight
e0050,23,337,profile_choice,formula,,"available_choice_share(23, 337, 1)",,,neutral,neutral,physical,supervised,LW01_supervision.csv:7,Unconditionally available choice to remove the pin.,cautious_noble_neutral,0.333333333333333
e0051,24,234,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:51,,cautious_noble_neutral,0.5
e0052,24,184,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:52,,cautious_noble_neutral,0.5
e0053,25,139,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:53,,cautious_noble_neutral,1
e0054,26,249,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:54,,cautious_noble_neutral,0.333333333333333
e0055,26,100,profile_choice,profile_choice,,,,,cautious,neutral,neutral,auto,LW01_e_edges.csv:55,,cautious_noble_neutral,0.666666666666667
e0056,27,250,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:56,,cautious_noble_neutral,0.2
e0057,27,52,profile_choice,profile_choice,,,,,cautious,neutral,tactical,auto,LW01_e_edges.csv:57,,cautious_noble_neutral,0.8
e0058,28,130,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:58,,cautious_noble_neutral,0.5
e0059,28,147,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:59,,cautious_noble_neutral,0.5
e0060,29,270,combat,formula,,combat_win(29),,,,,,auto,LW01_e_edges.csv:60,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists. Deduction of 2 COMBAT SKILL points unless Mindshield is possessed.",cautious_noble_neutral,0.833
e0061,29,Death,combat,formula,,1 - combat_win(29),,,,,,auto,generated:combat_death:29,Implicit death when the combat is lost.,cautious_noble_neutral,0.167
e0062,30,194,profile_choice,profile_choice,,,,,reckless,noble,physical,auto,LW01_e_edges.csv:61,,cautious_noble_neutral,0.5
e0063,30,261,profile_choice,profile_choice,,,,,cautious,selfish,physical,auto,LW01_e_edges.csv:62,,cautious_noble_neutral,0.5
e0064,31,264,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:63,,cautious_noble_neutral,1
e0065,32,176,profile_choice,profile_choice,,,,,cautious,neutral,tactical,auto,LW01_e_edges.csv:64,,cautious_noble_neutral,0.8
e0066,32,340,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:65,,cautious_noble_neutral,0.2
e0067,33,248,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:66,,cautious_noble_neutral,1
e0068,34,328,combat,formula,,combat_win(34),,,,,,auto,LW01_e_edges.csv:67,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists. Deduction of 2 COMBAT SKILL points unless Mindshield is possessed.",cautious_noble_neutral,0.833
e0069,34,Death,combat,formula,,1 - combat_win(34),,,,,,auto,generated:combat_death:34,Implicit death when the combat is lost.,cautious_noble_neutral,0.167
e0070,35,207,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:68,,cautious_noble_neutral,1
e0071,36,140,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:69,Loss of 2 ENDURANCE points during the transition,cautious_noble_neutral,0.5
e0072,36,323,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:70,,cautious_noble_neutral,0.5
e0073,37,282,kai,formula,,"kai_available(""Camouflage"")",kai_discipline,Camouflage,,,,auto,LW01_e_edges.csv:71,Kai route is taken whenever the discipline is available.,cautious_noble_neutral,0.5
e0074,37,289,profile_choice,formula,,"1 - kai_available(""Camouflage"")",,,reckless,neutral,neutral,auto,LW01_e_edges.csv:72,Choice among routes remaining when the Kai route is unavailable.,cautious_noble_neutral,0.5
e0075,38,128,profile_choice,profile_choice,,,,,reckless,neutral,tactical,auto,LW01_e_edges.csv:73,,cautious_noble_neutral,0.2
e0076,38,347,profile_choice,profile_choice,,,,,cautious,neutral,tactical,auto,LW01_e_edges.csv:74,,cautious_noble_neutral,0.8
e0077,39,228,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:75,,cautious_noble_neutral,1
e0078,40,105,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:76,,cautious_noble_neutral,1
e0079,41,174,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:77,,cautious_noble_neutral,0.5
e0080,41,116,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:78,,cautious_noble_neutral,0.5
e0081,42,86,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:79,,cautious_noble_neutral,0.25
e0082,42,238,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:80,,cautious_noble_neutral,0.25
e0083,42,157,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:81,,cautious_noble_neutral,0.25
e0084,42,147,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:82,,cautious_noble_neutral,0.25
e0085,43,195,combat,formula,,"combat_outcome(43, ""survive"")",combat_outcome,survive,,,,supervised,LW01_supervision.csv:8,Victory after continuing the combat.,cautious_noble_neutral,0.4165
e0086,43,106,escape,formula,,"combat_outcome(43, ""escape"")",combat_outcome,escape,cautious,neutral,physical,supervised,LW01_supervision.csv:9,Escape outcome after surviving three combat rounds.,cautious_noble_neutral,0.5
e0087,43,Death,combat,formula,,"combat_outcome(43, ""death"")",combat_outcome,death,,,,supervised,LW01_supervision.csv:10,Death before victory or escape.,cautious_noble_neutral,0.0835
e0088,44,277,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:85,,cautious_noble_neutral,0.5
e0089,44,338,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:86,,cautious_noble_neutral,0.5
e0090,45,180,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:87,,cautious_noble_neutral,1
e0091,46,296,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,auto,LW01_e_edges.csv:88,Kai route is taken whenever the discipline is available.,cautious_noble_neutral,0.5
e0092,46,246,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(46, 246)",,,reckless,neutral,neutral,auto,LW01_e_edges.csv:89,Choice among routes remaining when the Kai route is unavailable.,cautious_noble_neutral,0.1
e0093,46,90,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(46, 90)",,,cautious,neutral,physical,auto,LW01_e_edges.csv:90,Choice among routes remaining when the Kai route is unavailable.,cautious_noble_neutral,0.4
e0094,47,136,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:91,,cautious_noble_neutral,0.2
e0095,47,322,profile_choice,profile_choice,,,,,cautious,neutral,physical,auto,LW01_e_edges.csv:92,,cautious_noble_neutral,0.8
e0096,48,243,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:93,,cautious_noble_neutral,1
e0097,49,339,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:94,,cautious_noble_neutral,0.5
e0098,49,60,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:95,,cautious_noble_neutral,0.5
e0099,50,97,profile_choice,profile_choice,,,,,reckless,neutral,neutral,auto,LW01_e_edges.csv:96,,cautious_noble_neutral,0.2
e0100,50,243,profile_choice,profile_choice,,,,,cautious,neutral,neutral,auto,LW01_e_edges.csv:97,,cautious_noble_neutral,0.8
e0101,51,288,profile_choice,profile_choice,,,,,reckless,neutral,tactical,auto,LW01_e_edges.csv:98,,cautious_noble_neutral,0.5
e0102,51,221,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:99,,cautious_noble_neutral,0.5
e0103,52,225,kai,formula,,"kai_available(""Animal Kinship"")",kai_discipline,Animal Kinship,,,,auto,LW01_e_edges.csv:100,Kai route is taken whenever the discipline is available.,cautious_noble_neutral,0.5
e0104,52,250,kai,formula,,"1 - kai_available(""Animal Kinship"")",kai_discipline_absent,Animal Kinship,,,,auto,LW01_e_edges.csv:101,,cautious_noble_neutral,0.5
e0105,53,Death,outcome,constant,1,,,,,,,auto,LW01_nodes.csv:53,Written narrative ending linked to its shared outcome.,cautious_noble_neutral,1
e0106,54,Death,outcome,constant,1,,,,,,,auto,LW01_nodes.csv:54,Written narrative ending linked to its shared outcome.,cautious_noble_neutral,1
e0107,55,325,combat,formula,,combat_win(55),,,,,,auto,LW01_e_edges.csv:102,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists",cautious_noble_neutral,0.833
e0108,55,Death,combat,formula,,1 - combat_win(55),,,,,,auto,generated:combat_death:55,Implicit death when the combat is lost.,cautious_noble_neutral,0.167
e0109,56,222,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:103,,cautious_noble_neutral,1
e0110,57,164,profile_choice,profile_choice,,,,,reckless,neutral,tactical,auto,LW01_e_edges.csv:104,,cautious_noble_neutral,0.25
e0111,57,109,profile_choice,profile_choice,,,,,reckless,neutral,tactical,auto,LW01_e_edges.csv:105,,cautious_noble_neutral,0.25
e0112,57,308,profile_choice,profile_choice,,,,,neutral,neutral,tactical,auto,LW01_e_edges.csv:106,,cautious_noble_neutral,0.5
e0113,58,251,profile_choice,profile_choice,,,,,cautious,neutral,tactical,auto,LW01_e_edges.csv:107,,cautious_noble_neutral,0.8
e0114,58,160,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:108,,cautious_noble_neutral,0.2
e0115,59,124,profile_choice,profile_choice,,,,,reckless,neutral,neutral,auto,LW01_e_edges.csv:109,,cautious_noble_neutral,0.142857142857143
e0116,59,106,profile_choice,profile_choice,,,,,cautious,neutral,neutral,auto,LW01_e_edges.csv:110,,cautious_noble_neutral,0.571428571428571
e0117,59,211,profile_choice,profile_choice,,,,,neutral,neutral,tactical,auto,LW01_e_edges.csv:111,,cautious_noble_neutral,0.285714285714286
e0118,60,Death,outcome,constant,1,,,,,,,auto,LW01_nodes.csv:60,Written narrative ending linked to its shared outcome.,cautious_noble_neutral,1
e0119,61,268,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:112,,cautious_noble_neutral,1
e0120,62,288,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:113,,cautious_noble_neutral,1
e0121,63,269,combat,formula,,combat_win(63),,,,,,auto,LW01_e_edges.csv:114,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists",cautious_noble_neutral,0.833
e0122,63,Death,combat,formula,,1 - combat_win(63),,,,,,auto,generated:combat_death:63,Implicit death when the combat is lost.,cautious_noble_neutral,0.167
e0123,64,188,profile_choice,profile_choice,,,,,cautious,selfish,physical,auto,LW01_e_edges.csv:115,,cautious_noble_neutral,0.666666666666667
e0124,64,16,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:116,,cautious_noble_neutral,0.333333333333333
e0125,65,104,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:117,,cautious_noble_neutral,1
e0126,66,350,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:118,,cautious_noble_neutral,1
e0127,67,252,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:119,,cautious_noble_neutral,1
e0128,68,130,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:120,,cautious_noble_neutral,0.5
e0129,68,15,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:121,,cautious_noble_neutral,0.5
e0130,69,272,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:122,,cautious_noble_neutral,1
e0131,70,8,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,auto,LW01_e_edges.csv:123,Kai route is taken whenever the discipline is available.,cautious_noble_neutral,0.5
e0132,70,28,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(70, 28)",,,neutral,neutral,neutral,auto,LW01_e_edges.csv:124,Choice among routes remaining when the Kai route is unavailable.,cautious_noble_neutral,0.25
e0133,70,157,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(70, 157)",,,neutral,neutral,neutral,auto,LW01_e_edges.csv:125,Choice among routes remaining when the Kai route is unavailable.,cautious_noble_neutral,0.25
e0134,71,65,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,auto,LW01_e_edges.csv:126,Kai route is taken whenever the discipline is available.,cautious_noble_neutral,0.5
e0135,71,242,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(71, 242)",,,reckless,selfish,physical,auto,LW01_e_edges.csv:127,Choice among routes remaining when the Kai route is unavailable.,cautious_noble_neutral,0.0555555555555556
e0136,71,104,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(71, 104)",,,cautious,neutral,neutral,auto,LW01_e_edges.csv:128,Choice among routes remaining when the Kai route is unavailable.,cautious_noble_neutral,0.444444444444444
e0137,72,265,combat,formula,,combat_win(72),,,,,,auto,LW01_e_edges.csv:129,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists",cautious_noble_neutral,0.833
e0138,72,Death,combat,formula,,1 - combat_win(72),,,,,,auto,generated:combat_death:72,Implicit death when the combat is lost.,cautious_noble_neutral,0.167
e0139,73,243,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:130,,cautious_noble_neutral,1
e0140,74,138,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:131,,cautious_noble_neutral,0.2
e0141,74,281,profile_choice,profile_choice,,,,,cautious,neutral,physical,auto,LW01_e_edges.csv:132,,cautious_noble_neutral,0.8
e0142,75,260,profile_choice,profile_choice,,,,,reckless,noble,physical,auto,LW01_e_edges.csv:133,,cautious_noble_neutral,0.5
e0143,75,163,profile_choice,profile_choice,,,,,cautious,selfish,tactical,auto,LW01_e_edges.csv:134,,cautious_noble_neutral,0.5
e0144,76,118,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:135,Loss of 2 ENDURANCE points during the transition,cautious_noble_neutral,1
e0145,77,19,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:136,,cautious_noble_neutral,1
e0146,78,132,profile_choice,profile_choice,,,,,cautious,neutral,neutral,auto,LW01_e_edges.csv:137,,cautious_noble_neutral,0.571428571428571
e0147,78,12,profile_choice,profile_choice,,,,,cautious,selfish,neutral,auto,LW01_e_edges.csv:138,,cautious_noble_neutral,0.285714285714286
e0148,78,220,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:139,,cautious_noble_neutral,0.142857142857143
e0149,79,204,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:140,,cautious_noble_neutral,1
e0150,80,7,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:141,,cautious_noble_neutral,1
e0151,81,183,profile_choice,profile_choice,,,,,cautious,neutral,neutral,auto,LW01_e_edges.csv:142,,cautious_noble_neutral,0.666666666666667
e0152,81,200,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:143,,cautious_noble_neutral,0.333333333333333
e0153,82,235,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:144,,cautious_noble_neutral,1
e0154,83,45,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,auto,LW01_e_edges.csv:145,Kai route is taken whenever the discipline is available.,cautious_noble_neutral,0.5
e0155,83,205,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(83, 205)",,,cautious,neutral,neutral,auto,LW01_e_edges.csv:146,Choice among routes remaining when the Kai route is unavailable.,cautious_noble_neutral,0.285714285714286
e0156,83,180,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(83, 180)",,,reckless,neutral,physical,auto,LW01_e_edges.csv:147,Choice among routes remaining when the Kai route is unavailable.,cautious_noble_neutral,0.0714285714285714
e0157,83,232,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(83, 232)",,,neutral,neutral,neutral,auto,LW01_e_edges.csv:148,Choice among routes remaining when the Kai route is unavailable.,cautious_noble_neutral,0.142857142857143
e0158,84,188,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:149,,cautious_noble_neutral,1
e0159,85,229,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:150,,cautious_noble_neutral,0.2
e0160,85,99,profile_choice,profile_choice,,,,,cautious,neutral,physical,auto,LW01_e_edges.csv:151,,cautious_noble_neutral,0.8
e0161,86,6,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:152,,cautious_noble_neutral,0.25
e0162,86,35,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:153,,cautious_noble_neutral,0.25
e0163,86,167,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:154,,cautious_noble_neutral,0.25
e0164,86,42,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:155,,cautious_noble_neutral,0.25
e0165,87,61,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:156,,cautious_noble_neutral,1
e0166,88,216,kai,formula,,"kai_available(""Healing"")",kai_discipline,Healing,,,,auto,LW01_e_edges.csv:157,Kai route is taken whenever the discipline is available.,cautious_noble_neutral,0.5
e0167,88,31,kai,formula,,"1 - kai_available(""Healing"")",kai_discipline_absent,Healing,,,,auto,LW01_e_edges.csv:158,,cautious_noble_neutral,0.5
e0168,89,53,random,constant,0.2,,,,,,,auto,LW01_e_edges.csv:159,,cautious_noble_neutral,0.2
e0169,89,274,random,constant,0.3,,,,,,,auto,LW01_e_edges.csv:160,,cautious_noble_neutral,0.3
e0170,89,316,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:161,,cautious_noble_neutral,0.5
e0171,90,18,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:162,,cautious_noble_neutral,1
e0172,91,198,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,auto,LW01_e_edges.csv:163,Kai route is taken whenever the discipline is available.,cautious_noble_neutral,0.5
e0173,91,152,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(91, 152)",,,neutral,neutral,tactical,auto,LW01_e_edges.csv:164,Choice among routes remaining when the Kai route is unavailable.,cautious_noble_neutral,0.166666666666667
e0174,91,7,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(91, 7)",,,cautious,neutral,neutral,auto,LW01_e_edges.csv:165,Choice among routes remaining when the Kai route is unavailable.,cautious_noble_neutral,0.333333333333333
e0175,92,13,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:166,,cautious_noble_neutral,1
e0176,93,106,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:167,,cautious_noble_neutral,1
e0177,94,7,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:168,,cautious_noble_neutral,1
e0178,95,240,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:169,,cautious_noble_neutral,0.5
e0179,95,5,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:170,,cautious_noble_neutral,0.5
