task,input_id,field,human_value,model_value,status,human_evidence,model_evidence,human_justification,model_justification
individual,T0004,perceived_profile.morality.label,selfish,selfish,match,"{""counterevidence"":[],""supporting"":[""S004-C04"",""S027-C02""]}","{""counterevidence"":[""S010-C01""],""supporting"":[""S004-C04"",""S025-C03"",""S027-C02""]}","When another person's danger is explicit, the trajectory twice prioritizes personal survival or the mission: it abandons the threatened wizard and later runs rather than defend the fallen Prince. No comparably clear prosocial player choice offsets these decisions.","The player consistently prioritizes their own safety and mission completion over the welfare of others. They explicitly abandon a wizard in danger (S004-C04), ignore a potential victim behind a boulder (S025-C03), and flee from a wounded Prince (S027-C02). While they investigate a crime scene (S010-C01), this is done for information rather than aid, and the overwhelming pattern is one of non-intervention and self-preservation."
individual,T0004,perceived_profile.morality.support,clear,mixed,disagreement,"{""counterevidence"":[],""supporting"":[""S004-C04"",""S027-C02""]}","{""counterevidence"":[""S010-C01""],""supporting"":[""S004-C04"",""S025-C03"",""S027-C02""]}","When another person's danger is explicit, the trajectory twice prioritizes personal survival or the mission: it abandons the threatened wizard and later runs rather than defend the fallen Prince. No comparably clear prosocial player choice offsets these decisions.","The player consistently prioritizes their own safety and mission completion over the welfare of others. They explicitly abandon a wizard in danger (S004-C04), ignore a potential victim behind a boulder (S025-C03), and flee from a wounded Prince (S027-C02). While they investigate a crime scene (S010-C01), this is done for information rather than aid, and the overwhelming pattern is one of non-intervention and self-preservation."
individual,T0004,perceived_profile.action.label,tactical,tactical,match,"{""counterevidence"":[""S026-C01""],""supporting"":[""S006-C02"",""S021-C02"",""S024-C02""]}","{""counterevidence"":[""S014-C01""],""supporting"":[""S004-C04"",""S021-C02"",""S027-C02""]}","Avoidance, cover, retreat, route selection, and disengagement dominate the player's voluntary actions. Direct physical confrontation is generally not chosen when a strategic alternative is available.","The player favors avoidance, concealment, and strategic retreat over direct physical confrontation. They hide from monsters (S002-C02), flee battles (S004-C04, S027-C02), avoid dangerous terrain (S008-C02), and seek cover in tunnels to avoid aerial attacks (S021-C02). Even when engaging in combat, it is often forced or defensive, but the voluntary choices are consistently tactical withdrawals or stealthy movements."
individual,T0004,perceived_profile.action.support,clear,clear,match,"{""counterevidence"":[""S026-C01""],""supporting"":[""S006-C02"",""S021-C02"",""S024-C02""]}","{""counterevidence"":[""S014-C01""],""supporting"":[""S004-C04"",""S021-C02"",""S027-C02""]}","Avoidance, cover, retreat, route selection, and disengagement dominate the player's voluntary actions. Direct physical confrontation is generally not chosen when a strategic alternative is available.","The player favors avoidance, concealment, and strategic retreat over direct physical confrontation. They hide from monsters (S002-C02), flee battles (S004-C04, S027-C02), avoid dangerous terrain (S008-C02), and seek cover in tunnels to avoid aerial attacks (S021-C02). Even when engaging in combat, it is often forced or defensive, but the voluntary choices are consistently tactical withdrawals or stealthy movements."
individual,T0004,causal_continuity.label,continuous,continuous,match,[],[],The trajectory proceeds through explicit consequences and motivated route changes. No required fact appears without prior support and no contradiction breaks the sequence.,"The narrative flow is logical. The player's decisions lead directly to the described outcomes. For example, fleeing the battle leads to being spotted by Giaks, which leads to the chase. Entering the tunnel to escape Kraans leads to the Burrowcrawler encounter. There are no contradictions or unsupported jumps in logic."
individual,T0004,profile_coherence.label,coherent,coherent,match,"{""counterevidence"":[""S010-C01"",""S026-C01""],""supporting"":[""S004-C04"",""S021-C02"",""S027-C02""]}","{""counterevidence"":[""S010-C01""],""supporting"":[""S004-C04"",""S025-C03"",""S027-C02""]}","The choices form a stable self-preserving, tactical pattern, with only a small number of exploratory or danger-accepting exceptions.","The choices form a stable profile of a cautious, self-preserving individual who avoids unnecessary risk and moral entanglements. The decision to investigate the huts (S010-C01) is the only slight deviation, but it aligns with gathering information for the mission rather than altruism, and does not contradict the overall cautious/selfish orientation. The repeated avoidance of combat and aid creates a consistent character arc."
individual,T0009,perceived_profile.risk.label,reckless,neutral,disagreement,"{""counterevidence"":[""S013-C02"",""S019-C01""],""supporting"":[""S009-C01"",""S017-C02"",""S025-C02""]}","{""counterevidence"":[""S024-C01"",""S025-C02""],""supporting"":[""S002-C01"",""S019-C01"",""S017-C02""]}","The player repeatedly accepts avoidable danger by helping under aerial attack, fighting the Giaks, charging through Doomwolves, remaining exposed on the highway, and later choosing another fight. Tactical retreats also recur, so the risk orientation is strong but not uniform.","The player exhibits a mix of caution and recklessness. S002-C01 (heading south to avoid known danger) and S019-C01 (veering off to cover) show caution. Conversely, S017-C02 (charging through Doomwolves) and S024-C01 (running on the open highway) show voluntary engagement with high danger. Neither pole dominates exclusively."
individual,T0009,perceived_profile.risk.support,mixed,mixed,match,"{""counterevidence"":[""S013-C02"",""S019-C01""],""supporting"":[""S009-C01"",""S017-C02"",""S025-C02""]}","{""counterevidence"":[""S024-C01"",""S025-C02""],""supporting"":[""S002-C01"",""S019-C01"",""S017-C02""]}","The player repeatedly accepts avoidable danger by helping under aerial attack, fighting the Giaks, charging through Doomwolves, remaining exposed on the highway, and later choosing another fight. Tactical retreats also recur, so the risk orientation is strong but not uniform.","The player exhibits a mix of caution and recklessness. S002-C01 (heading south to avoid known danger) and S019-C01 (veering off to cover) show caution. Conversely, S017-C02 (charging through Doomwolves) and S024-C01 (running on the open highway) show voluntary engagement with high danger. Neither pole dominates exclusively."
individual,T0009,perceived_profile.morality.label,noble,noble,match,"{""counterevidence"":[],""supporting"":[""S009-C01"",""S010-C01""]}","{""counterevidence"":[""S006-C02""],""supporting"":[""S009-C01"",""S010-C01""]}",The clearest moral sequence is strongly prosocial: the player chooses to help endangered children and then voluntarily stays to fight their attackers rather than flee to safety. Other choices provide little direct moral counterevidence.,"The player explicitly chooses to help vulnerable others at personal risk. S009-C01 involves helping children in a wagon under attack, followed by S010-C01 fighting the attackers. While S006-C02 shows avoidance of a group, the active protection of the children is a strong moral signal of nobility."
individual,T0009,perceived_profile.morality.support,clear,clear,match,"{""counterevidence"":[],""supporting"":[""S009-C01"",""S010-C01""]}","{""counterevidence"":[""S006-C02""],""supporting"":[""S009-C01"",""S010-C01""]}",The clearest moral sequence is strongly prosocial: the player chooses to help endangered children and then voluntarily stays to fight their attackers rather than flee to safety. Other choices provide little direct moral counterevidence.,"The player explicitly chooses to help vulnerable others at personal risk. S009-C01 involves helping children in a wagon under attack, followed by S010-C01 fighting the attackers. While S006-C02 shows avoidance of a group, the active protection of the children is a strong moral signal of nobility."
individual,T0009,perceived_profile.action.label,physical,physical,match,"{""counterevidence"":[""S013-C02"",""S019-C01""],""supporting"":[""S010-C01"",""S017-C02"",""S035-C01""]}","{""counterevidence"":[""S006-C02"",""S014-C02""],""supporting"":[""S010-C01"",""S017-C02"",""S035-C01""]}","Several voluntary choices favor direct force or confrontation, including fighting the Giaks, charging through attackers, and fighting the madman. The player also uses cover and bypasses some conflicts, so physical action does not dominate every situation.","The player repeatedly chooses direct confrontation and force. S010-C01 (fight Giaks), S017-C02 (charge through enemies), S025-C02 (draw weapon and run), and S035-C01 (fight madman) all demonstrate a preference for physical engagement over tactical avoidance or stealth."
individual,T0009,perceived_profile.action.support,mixed,clear,disagreement,"{""counterevidence"":[""S013-C02"",""S019-C01""],""supporting"":[""S010-C01"",""S017-C02"",""S035-C01""]}","{""counterevidence"":[""S006-C02"",""S014-C02""],""supporting"":[""S010-C01"",""S017-C02"",""S035-C01""]}","Several voluntary choices favor direct force or confrontation, including fighting the Giaks, charging through attackers, and fighting the madman. The player also uses cover and bypasses some conflicts, so physical action does not dominate every situation.","The player repeatedly chooses direct confrontation and force. S010-C01 (fight Giaks), S017-C02 (charge through enemies), S025-C02 (draw weapon and run), and S035-C01 (fight madman) all demonstrate a preference for physical engagement over tactical avoidance or stealth."
individual,T0009,causal_continuity.label,continuous,continuous,match,[],[],"The chosen branches and subsequent scenes connect without an unsupported dependency or explicit contradiction. Forced, random, and combat resolutions preserve the stated situation from one paragraph to the next.","The narrative flow is logical. Transitions follow from player choices or mechanical resolutions (Kai disciplines, combat outcomes). No contradictions or unsupported dependencies are found."
individual,T0009,profile_coherence.label,mixed,mixed,match,"{""counterevidence"":[""S013-C02"",""S019-C01""],""supporting"":[""S010-C01"",""S017-C02"",""S035-C01""]}","{""counterevidence"":[""S019-C01"",""S024-C01""],""supporting"":[""S002-C01"",""S017-C02"",""S009-C01""]}","A risk-accepting and physically direct profile is visible, especially around combat, but repeated evasive choices and route avoidance create a meaningful competing tactical tendency.","The profile shows a strong tendency towards physical action and noble morality, but risk-taking is inconsistent. The player alternates between seeking cover (S002-C01, S019-C01) and engaging in high-risk direct assaults (S017-C02, S024-C01). This creates a readable but internally competing orientation regarding risk."
individual,T0014,perceived_profile.risk.label,cautious,neutral,disagreement,"{""counterevidence"":[""S022-C01"",""S028-C01""],""supporting"":[""S016-C02"",""S017-C02"",""S025-C02""]}","{""counterevidence"":[""S013-C01"",""S025-C02""],""supporting"":[""S002-C02"",""S008-C02"",""S022-C01""]}","The player commonly stays under cover, leaves compromised routes, avoids uncertain contacts, and presses on rather than investigate optional sites. This pattern is opposed by entering an explicitly dangerous tunnel and deliberately approaching the sound of battle.","The player exhibits a mix of cautious avoidance and voluntary engagement with danger. S002-C02 (cutting through heavy foliage to avoid known patrols) and S008-C02 (changing direction to escape ambush) demonstrate caution. Conversely, S022-C01 (entering a dark, unknown tunnel) and S013-C01 (investigating a hut with fresh Giak tracks) show a willingness to engage with potential threats. These competing behaviors prevent a clear classification as either consistently cautious or reckless."
individual,T0014,perceived_profile.risk.support,mixed,mixed,match,"{""counterevidence"":[""S022-C01"",""S028-C01""],""supporting"":[""S016-C02"",""S017-C02"",""S025-C02""]}","{""counterevidence"":[""S013-C01"",""S025-C02""],""supporting"":[""S002-C02"",""S008-C02"",""S022-C01""]}","The player commonly stays under cover, leaves compromised routes, avoids uncertain contacts, and presses on rather than investigate optional sites. This pattern is opposed by entering an explicitly dangerous tunnel and deliberately approaching the sound of battle.","The player exhibits a mix of cautious avoidance and voluntary engagement with danger. S002-C02 (cutting through heavy foliage to avoid known patrols) and S008-C02 (changing direction to escape ambush) demonstrate caution. Conversely, S022-C01 (entering a dark, unknown tunnel) and S013-C01 (investigating a hut with fresh Giak tracks) show a willingness to engage with potential threats. These competing behaviors prevent a clear classification as either consistently cautious or reckless."
individual,T0014,perceived_profile.morality.label,selfish,selfish,match,"{""counterevidence"":[""S004-C01""],""supporting"":[""S027-C02"",""S029-C02""]}","{""counterevidence"":[""S004-C01""],""supporting"":[""S027-C02"",""S029-C02"",""S017-C02""]}","The trajectory later abandons a wounded King's soldier and then runs from the fallen Prince, both clear choices of self-preservation over helping others. Earlier, however, it warns the endangered wizard, providing direct noble counterevidence.","The player repeatedly prioritizes personal safety and mission efficiency over the welfare of others. S027-C02 explicitly chooses to leave a wounded soldier behind. S029-C02 chooses to flee from a battle where the Prince is wounded, abandoning him to his fate. While S004-C01 involves helping a wizard, the subsequent choices to ignore or abandon others in distress (S027-C02, S029-C02) establish a dominant pattern of self-preservation at the expense of others."
individual,T0014,perceived_profile.morality.support,mixed,clear,disagreement,"{""counterevidence"":[""S004-C01""],""supporting"":[""S027-C02"",""S029-C02""]}","{""counterevidence"":[""S004-C01""],""supporting"":[""S027-C02"",""S029-C02"",""S017-C02""]}","The trajectory later abandons a wounded King's soldier and then runs from the fallen Prince, both clear choices of self-preservation over helping others. Earlier, however, it warns the endangered wizard, providing direct noble counterevidence.","The player repeatedly prioritizes personal safety and mission efficiency over the welfare of others. S027-C02 explicitly chooses to leave a wounded soldier behind. S029-C02 chooses to flee from a battle where the Prince is wounded, abandoning him to his fate. While S004-C01 involves helping a wizard, the subsequent choices to ignore or abandon others in distress (S027-C02, S029-C02) establish a dominant pattern of self-preservation at the expense of others."
individual,T0014,perceived_profile.action.label,tactical,tactical,match,"{""counterevidence"":[],""supporting"":[""S004-C01"",""S016-C02"",""S025-C02""]}","{""counterevidence"":[""S022-C01"",""S013-C01""],""supporting"":[""S004-C01"",""S008-C02"",""S025-C02""]}","The player strongly favors non-physical responses: warning rather than attacking, changing route, avoiding smoke and exposed travel, declining optional exploration, and running from battle. There is little voluntary direct-force evidence.","The player consistently prefers observation, concealment, and avoidance over direct confrontation. S002-C02 avoids open paths. S004-C01 uses a warning shout rather than physical attack. S008-C02 and S025-C02 involve fleeing or moving under cover. S016-C02 and S017-C02 involve leaving tracks or avoiding smoke sources to remain undetected. Even when combat occurs (S022-C01), it is a result of entering a hidden route rather than seeking a fight. The preference is clearly for strategic movement and evasion."
individual,T0014,perceived_profile.action.support,clear,clear,match,"{""counterevidence"":[],""supporting"":[""S004-C01"",""S016-C02"",""S025-C02""]}","{""counterevidence"":[""S022-C01"",""S013-C01""],""supporting"":[""S004-C01"",""S008-C02"",""S025-C02""]}","The player strongly favors non-physical responses: warning rather than attacking, changing route, avoiding smoke and exposed travel, declining optional exploration, and running from battle. There is little voluntary direct-force evidence.","The player consistently prefers observation, concealment, and avoidance over direct confrontation. S002-C02 avoids open paths. S004-C01 uses a warning shout rather than physical attack. S008-C02 and S025-C02 involve fleeing or moving under cover. S016-C02 and S017-C02 involve leaving tracks or avoiding smoke sources to remain undetected. Even when combat occurs (S022-C01), it is a result of entering a hidden route rather than seeking a fight. The preference is clearly for strategic movement and evasion."
individual,T0014,causal_continuity.label,continuous,continuous,match,[],[],"The story's route changes, encounters, combat resolution, and final ambush follow from the preceding scenes without a verifiable missing cause or contradiction.","The narrative flow is logical. Transitions are supported by player choices or mechanical rules (Kai disciplines). The final death results directly from the choice to flee the battle (S029-C02), leading to an ambush in the forest. No contradictions or unsupported dependencies are found."
individual,T0014,profile_coherence.label,mixed,coherent,disagreement,"{""counterevidence"":[""S004-C01"",""S022-C01""],""supporting"":[""S016-C02"",""S025-C02"",""S027-C02""]}","{""counterevidence"":[""S022-C01""],""supporting"":[""S004-C01"",""S027-C02"",""S029-C02""]}","The risk and action choices are broadly cautious and tactical, but the moral profile shifts from aiding the wizard to abandoning two explicitly endangered allies.","The decisions form a stable profile of a self-preserving, tactical operator. The player avoids direct conflict (S004-C01, S008-C02, S025-C02) and prioritizes their own safety over helping others (S027-C02, S029-C02). The few instances of risk-taking (S022-C01, S013-C01) are consistent with a tactical approach to gathering information or finding shortcuts, rather than a desire for combat. The profile is internally consistent."
pairwise,C002,narrative_distinctness.label,high,high,match,"{""story_a"":[""S004-C04"",""S008-C02"",""S021-C02"",""S024-C02"",""S027-C02""],""story_b"":[""S005-C01"",""S009-C01"",""S010-C01"",""S013-C01"",""S014-C01""]}","{""story_a"":[""S004-C04"",""S016-C02"",""S020-C02"",""S024-C02"",""S027-C02""],""story_b"":[""S005-C01"",""S008-C01"",""S010-C01"",""S014-C01"",""S009-C01""]}","The two stories create clearly different experiences of the journey. Story A is predominantly solitary and evasive, repeatedly using cover, avoiding encounters, and withdrawing from endangered characters. Story B instead spends much of its short route among refugees and endangered allies, repeatedly choosing to intervene and fight directly.","The two trajectories present fundamentally different experiences of the protagonist's journey. Story A depicts a solitary, paranoid survivor who actively avoids contact with others, fleeing from a wizard in distress (S004-C04), ignoring refugees (S024-C02), and abandoning a wounded prince (S027-C02). This path is characterized by stealth, evasion, and isolation, ending in a sudden ambush after a series of cautious retreats. Story B portrays a socially engaged hero who seeks out refugees (S005-C01), joins their caravan (S008-C01), and actively intervenes in crises, fighting Giaks to save children (S010-C01) and defending the Prince (S14-C01). This path is characterized by direct confrontation, leadership, and community interaction, ending in a heroic but fatal ambush after a major battle. The contrast between the isolated evader and the engaged protector creates clearly different narrative situations and manners of acting."
pairwise,C002,perceived_profile_shift.risk,A_more_cautious,A_more_cautious,match,"{""story_a"":[""S004-C04"",""S008-C02"",""S021-C02"",""S024-C02"",""S027-C02""],""story_b"":[""S005-C01"",""S009-C01"",""S010-C01"",""S013-C01"",""S014-C01""]}","{""story_a"":[""S004-C04"",""S016-C02"",""S020-C02"",""S024-C02"",""S027-C02""],""story_b"":[""S005-C01"",""S008-C01"",""S010-C01"",""S014-C01"",""S009-C01""]}","Relative to B, A repeatedly avoids optional danger, remains under cover, and leaves other characters in danger, including the wizard and the fallen Prince. B approaches refugees, helps the children, chooses direct combat with the Giaks, follows the battle, and defends the Prince. These repeated contrasts make A more cautious, more selfish, and more tactical than B overall.","Story A demonstrates a consistent pattern of caution and self-preservation. The protagonist avoids the battle at the ruins (S004-C04), flees from the Vordak rather than engaging strategically (S016-C02), avoids the tunnel initially (S020-C02), and ultimately abandons the wounded Prince to save themselves (S027-C02). These choices reflect a preference for avoiding danger and prioritizing personal survival over others. In contrast, Story B shows repeated voluntary engagement with danger for the sake of others. The protagonist approaches refugees (S005-C01), joins them to gather information (S008-C01), fights Giaks to protect children (S010-C01), and defends the Prince (S14-C01). This establishes B as more noble and reckless, while A is more selfish and cautious. Regarding action, A relies on evasion and stealth (S004-C04, S027-C02), whereas B engages in direct combat (S010-C01, S14-C01), making A more tactical and B more physical."
pairwise,C002,perceived_profile_shift.morality,A_more_selfish,A_more_selfish,match,"{""story_a"":[""S004-C04"",""S008-C02"",""S021-C02"",""S024-C02"",""S027-C02""],""story_b"":[""S005-C01"",""S009-C01"",""S010-C01"",""S013-C01"",""S014-C01""]}","{""story_a"":[""S004-C04"",""S016-C02"",""S020-C02"",""S024-C02"",""S027-C02""],""story_b"":[""S005-C01"",""S008-C01"",""S010-C01"",""S014-C01"",""S009-C01""]}","Relative to B, A repeatedly avoids optional danger, remains under cover, and leaves other characters in danger, including the wizard and the fallen Prince. B approaches refugees, helps the children, chooses direct combat with the Giaks, follows the battle, and defends the Prince. These repeated contrasts make A more cautious, more selfish, and more tactical than B overall.","Story A demonstrates a consistent pattern of caution and self-preservation. The protagonist avoids the battle at the ruins (S004-C04), flees from the Vordak rather than engaging strategically (S016-C02), avoids the tunnel initially (S020-C02), and ultimately abandons the wounded Prince to save themselves (S027-C02). These choices reflect a preference for avoiding danger and prioritizing personal survival over others. In contrast, Story B shows repeated voluntary engagement with danger for the sake of others. The protagonist approaches refugees (S005-C01), joins them to gather information (S008-C01), fights Giaks to protect children (S010-C01), and defends the Prince (S14-C01). This establishes B as more noble and reckless, while A is more selfish and cautious. Regarding action, A relies on evasion and stealth (S004-C04, S027-C02), whereas B engages in direct combat (S010-C01, S14-C01), making A more tactical and B more physical."
pairwise,C002,perceived_profile_shift.action,A_more_tactical,A_more_tactical,match,"{""story_a"":[""S004-C04"",""S008-C02"",""S021-C02"",""S024-C02"",""S027-C02""],""story_b"":[""S005-C01"",""S009-C01"",""S010-C01"",""S013-C01"",""S014-C01""]}","{""story_a"":[""S004-C04"",""S016-C02"",""S020-C02"",""S024-C02"",""S027-C02""],""story_b"":[""S005-C01"",""S008-C01"",""S010-C01"",""S014-C01"",""S009-C01""]}","Relative to B, A repeatedly avoids optional danger, remains under cover, and leaves other characters in danger, including the wizard and the fallen Prince. B approaches refugees, helps the children, chooses direct combat with the Giaks, follows the battle, and defends the Prince. These repeated contrasts make A more cautious, more selfish, and more tactical than B overall.","Story A demonstrates a consistent pattern of caution and self-preservation. The protagonist avoids the battle at the ruins (S004-C04), flees from the Vordak rather than engaging strategically (S016-C02), avoids the tunnel initially (S020-C02), and ultimately abandons the wounded Prince to save themselves (S027-C02). These choices reflect a preference for avoiding danger and prioritizing personal survival over others. In contrast, Story B shows repeated voluntary engagement with danger for the sake of others. The protagonist approaches refugees (S005-C01), joins them to gather information (S008-C01), fights Giaks to protect children (S010-C01), and defends the Prince (S14-C01). This establishes B as more noble and reckless, while A is more selfish and cautious. Regarding action, A relies on evasion and stealth (S004-C04, S027-C02), whereas B engages in direct combat (S010-C01, S14-C01), making A more tactical and B more physical."
pairwise,C003,narrative_distinctness.label,high,medium,disagreement,"{""story_a"":[""S014-C02"",""S015-C02"",""S021-C01"",""S030-C02"",""S040-C02""],""story_b"":[""S009-C01"",""S010-C01"",""S017-C02"",""S025-C02"",""S035-C01""]}","{""story_a"":[""S014-C02"",""S015-C02"",""S021-C01"",""S030-C02"",""S040-C02""],""story_b"":[""S009-C01"",""S010-C01"",""S017-C02"",""S025-C02"",""S035-C01""]}","Although the stories share several locations and later city material, they present clearly different ways of moving through the adventure. Story A repeatedly withdraws from danger and from opportunities to help, then relies on concealment and indirect routes. Story B repeatedly enters dangerous situations, helps the children, fights directly, and presses ahead through exposed threats.","Both trajectories share the same origin, destination, and final outcome, following a similar geographic path from the monastery to Holmgard. However, the manner of travel differs significantly in the middle section. Story A involves a stealthy approach via the river and hiding behind a log, avoiding direct confrontation with most threats. Story B involves a high-speed chase on horseback, a direct charge through Doomwolves, and a fight against bandits on the highway. These differences create a perceptible global difference in the experience of the journey (stealth vs. action), though the shared narrative basis keeps the label at medium."
